icd_code,icd_version,long_title
00160J4,10,"Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Open Approach"
00160J5,10,"Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Open Approach"
00160J6,10,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Open Approach"
00160J7,10,"Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Open Approach"
00160J8,10,"Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Open Approach"
00160JA,10,"Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach"
00160JB,10,"Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Open Approach"
00160K0,10,"Bypass Cerebral Ventricle to Nasopharynx with Nonautologous Tissue Substitute, Open Approach"
00160K1,10,"Bypass Cerebral Ventricle to Mastoid Sinus with Nonautologous Tissue Substitute, Open Approach"
00160K2,10,"Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Open Approach"
00160K3,10,"Bypass Cerebral Ventricle to Blood Vessel with Nonautologous Tissue Substitute, Open Approach"
00160K4,10,"Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Open Approach"
00160K5,10,"Bypass Cerebral Ventricle to Intestine with Nonautologous Tissue Substitute, Open Approach"
00160K6,10,"Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Open Approach"
00160K7,10,"Bypass Cerebral Ventricle to Urinary Tract with Nonautologous Tissue Substitute, Open Approach"
00160K8,10,"Bypass Cerebral Ventricle to Bone Marrow with Nonautologous Tissue Substitute, Open Approach"
00160KA,10,"Bypass Cerebral Ventricle to Subgaleal Space with Nonautologous Tissue Substitute, Open Approach"
00160KB,10,"Bypass Cerebral Ventricle to Cerebral Cisterns with Nonautologous Tissue Substitute, Open Approach"
00160ZB,10,"Bypass Cerebral Ventricle to Cerebral Cisterns, Open Approach"
0016370,10,"Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Percutaneous Approach"
0016371,10,"Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Percutaneous Approach"
0016372,10,"Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Percutaneous Approach"
0016373,10,"Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Percutaneous Approach"
0016374,10,"Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Approach"
0016375,10,"Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Percutaneous Approach"
0016376,10,"Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Approach"
0016377,10,"Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Percutaneous Approach"
0016378,10,"Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Percutaneous Approach"
001637A,10,"Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Percutaneous Approach"
001637B,10,"Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Percutaneous Approach"
00163J0,10,"Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Percutaneous Approach"
00163J1,10,"Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Percutaneous Approach"
00163J2,10,"Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Percutaneous Approach"
00163J3,10,"Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Percutaneous Approach"
00163J4,10,"Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Percutaneous Approach"
00163J5,10,"Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Percutaneous Approach"
00163J6,10,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach"
00163J7,10,"Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Percutaneous Approach"
00163J8,10,"Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Percutaneous Approach"
00163JA,10,"Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Percutaneous Approach"
00163JB,10,"Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Percutaneous Approach"
00163K0,10,"Bypass Cerebral Ventricle to Nasopharynx with Nonautologous Tissue Substitute, Percutaneous Approach"
00163K1,10,"Bypass Cerebral Ventricle to Mastoid Sinus with Nonautologous Tissue Substitute, Percutaneous Approach"
00163K2,10,"Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Percutaneous Approach"
00163K3,10,"Bypass Cerebral Ventricle to Blood Vessel with Nonautologous Tissue Substitute, Percutaneous Approach"
00163K4,10,"Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Percutaneous Approach"
00163K5,10,"Bypass Cerebral Ventricle to Intestine with Nonautologous Tissue Substitute, Percutaneous Approach"
00163K6,10,"Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Approach"
00163K7,10,"Bypass Cerebral Ventricle to Urinary Tract with Nonautologous Tissue Substitute, Percutaneous Approach"
00163K8,10,"Bypass Cerebral Ventricle to Bone Marrow with Nonautologous Tissue Substitute, Percutaneous Approach"
00163KA,10,"Bypass Cerebral Ventricle to Subgaleal Space with Nonautologous Tissue Substitute, Percutaneous Approach"
00163KB,10,"Bypass Cerebral Ventricle to Cerebral Cisterns with Nonautologous Tissue Substitute, Percutaneous Approach"
00163ZB,10,"Bypass Cerebral Ventricle to Cerebral Cisterns, Percutaneous Approach"
0016470,10,"Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0016471,10,"Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0016472,10,"Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0016473,10,"Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0016474,10,"Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0016475,10,"Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0016476,10,"Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0016477,10,"Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0016478,10,"Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
001647A,10,"Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
001647B,10,"Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
00164J0,10,"Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Percutaneous Endoscopic Approach"
00164J1,10,"Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Percutaneous Endoscopic Approach"
00164J2,10,"Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach"
00164J3,10,"Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Percutaneous Endoscopic Approach"
00164J4,10,"Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach"
00164J5,10,"Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Percutaneous Endoscopic Approach"
00164J6,10,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach"
00164J7,10,"Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Percutaneous Endoscopic Approach"
00164J8,10,"Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Percutaneous Endoscopic Approach"
