itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
220293,Minute Volume Alarm - High,MV Alarm - High,chartevents,Alarms,L/min,Numeric,,
220339,PEEP set,PEEP set,chartevents,Respiratory,cmH2O,Numeric,,
220341,Alanine (ingr),Alanine (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220344,Amino Acid,Amino Acid,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220346,Arachidic acid,Arachidic acid,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220347,Arginine,Arginine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220349,Ascorbic acid,Vit C,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220351,Aspartic Acid,Aspartic Acid,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220354,Beta Carotene,Pro Vit A,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220356,Biotine,Vit B7,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220362,Calciferol,Vit D,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220363,Calcium (ingr),Ca (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220364,Carbohydrates,Carb's,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220365,Carnitine,Carnitine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220367,Chloride (ingr),Cl (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220368,Cholecalciferol,Vit D3,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220369,Choline,Choline,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220370,Chromium (ingr),Cr (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220373,Cobolamin,Vit B12,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220375,Copper (ingr),Cu (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220377,Cysteine,Cysteine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220387,Fat,Fat,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220388,Fibers,Fibers,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220389,Fluoride,Fl,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220390,Folic Acid (ingr),Folic Acid (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220395,Glucose (ingr),Glucose (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220396,Glutamic acid,Glutamic acid,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220397,Glutamine,Glutamine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220399,Glycine,Glycine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220402,Histidine,Histidine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220407,Inositol,Inositol,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220408,Iodine,I,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220410,Iron (ingr),Fe,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220411,Isoleucine,Isoleucine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220412,Kilogram calory,Kcal,ingredientevents,Ingredients - general (Not In Use),Kcal,Ingredient,,
220413,Kilojoule,KJ,ingredientevents,Ingredients - general (Not In Use),kJ,Ingredient,,
220415,L-carnitine,Vit BT,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220417,Leucine,Leucine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220418,Linolenic acids,Linolenic acids,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220421,Lysine,Lysine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220422,Magnesium (ingr),Mg (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220423,Manganese,Mn,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220424,Menaquinon,Vit K2,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220426,Methionine,Methionine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220427,Molybdenum,Mo,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220429,Myristic acid,Myristic acid,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220432,Niacin,Vit B3,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220435,Nitrogen,N,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220444,Pantotanic acid,Vit B5,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220446,Phenylalanine,Phenylalanine,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220447,Philoquinone,Vit K1,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220448,Phosphorus,P,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220451,Potassium (ingr),K (ingr),ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220453,Proline,Proline,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220454,Protein,Protein,ingredientevents,Ingredients,grams,Ingredient,,
220455,Pyridoxine,Vit B6,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220456,Retinol,Vit A,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220457,Rhenium,Re,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220458,Rhodium,Rh,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220459,Riboflavin,Vit B2,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
220460,Rubidium,Rb,ingredientevents,Ingredients - general (Not In Use),mg,Ingredient,,
